,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
780,2015-09-21,140.5,141.08,139.35,140.04,2492617.0,MMM
781,2015-09-22,138.27,138.51,137.25,138.02,2773016.0,MMM
782,2015-09-23,138.53,138.9,136.86,137.66,2684501.0,MMM
783,2015-09-24,136.63,138.03,135.39,137.58,2673848.0,MMM
784,2015-09-25,139.62,140.12,138.57,139.56,3760309.0,MMM
785,2015-09-28,138.3,139.7,138.3,138.38,3434012.0,MMM
786,2015-09-29,138.62,142.16,138.43,141.55,4934589.0,MMM
787,2015-09-30,142.52,143.22,140.5,141.77,3609919.0,MMM
788,2015-10-01,142.21,142.5,139.58,140.8,2486252.0,MMM
789,2015-10-02,139.08,143.3,138.57,143.2,3050217.0,MMM
790,2015-10-05,144.3,146.6,143.63,146.32,2982935.0,MMM
791,2015-10-06,145.99,146.64,145.4,145.79,2238124.0,MMM
792,2015-10-07,146.74,148.54,146.13,147.54,1954041.0,MMM
793,2015-10-08,146.65,149.56,146.59,149.48,2003991.0,MMM
794,2015-10-09,149.56,150.65,149.3,149.9,2288542.0,MMM
795,2015-10-12,150.26,150.56,149.54,150.06,1426085.0,MMM
796,2015-10-13,148.91,150.0,148.73,149.11,2024445.0,MMM
797,2015-10-14,149.0,149.66,148.18,148.32,2258243.0,MMM
798,2015-10-15,149.64,149.88,148.02,149.19,2588498.0,MMM
799,2015-10-16,149.77,149.78,147.48,148.7,2490485.0,MMM
800,2015-10-19,147.97,148.42,147.23,148.0,2004154.0,MMM
801,2015-10-20,147.45,149.67,147.13,149.11,2409174.0,MMM
802,2015-10-21,149.5,151.39,148.9,149.82,3009877.0,MMM
803,2015-10-22,151.34,157.04,150.65,156.0,5099034.0,MMM
804,2015-10-23,156.54,157.19,154.5,155.79,2955546.0,MMM
805,2015-10-26,156.06,156.76,155.64,156.54,2136090.0,MMM
806,2015-10-27,156.0,157.0,155.08,156.73,1968416.0,MMM
807,2015-10-28,156.49,158.33,156.2,158.08,2720530.0,MMM
808,2015-10-29,157.75,157.91,156.88,157.61,1448223.0,MMM
809,2015-10-30,157.8,158.68,157.21,157.21,2665250.0,MMM
810,2015-11-02,157.51,160.09,157.34,159.92,2695211.0,MMM
811,2015-11-03,159.48,159.8,158.67,158.75,2966450.0,MMM
812,2015-11-04,159.0,159.48,158.61,158.91,2254024.0,MMM
813,2015-11-05,159.38,159.58,158.27,158.99,2023379.0,MMM
814,2015-11-06,158.02,159.26,157.73,159.26,1859938.0,MMM
815,2015-11-09,158.67,158.67,156.75,157.47,2419477.0,MMM
816,2015-11-10,157.23,157.64,156.43,157.59,1961854.0,MMM
817,2015-11-11,157.86,159.49,157.54,159.05,2524341.0,MMM
818,2015-11-12,157.78,158.29,156.16,156.3,2296183.0,MMM
819,2015-11-13,156.0,156.92,155.6,155.65,2429794.0,MMM
820,2015-11-16,155.61,158.26,155.61,158.21,2391850.0,MMM
821,2015-11-17,158.36,158.53,156.52,157.03,2390779.0,MMM
822,2015-11-18,156.18,157.5,156.08,157.39,2211349.0,MMM
